TOD_003,"Next Action Detail",app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_003_NextActionDetail.kt,TOD003NextActionDetailScreen
TOD_004,"Device Status",app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_004_DeviceStatus.kt,TOD004DeviceStatusScreen
TOD_005,"Today Workout Preview",app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_005_TodayWorkoutPreview.kt,TOD005TodayWorkoutPreviewScreen
TOD_006,"Today Meal Plan",app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_006_TodayMealPlan.kt,TOD006TodayMealPlanScreen
TOD_007,"Confirmed Meals",app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_007_ConfirmedMeals.kt,TOD007ConfirmedMealsScreen
TOD_008,"Today Loading",app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_008_TodayLoading.kt,TOD008TodayLoadingScreen
TOD_009,"Today Empty",app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_009_TodayEmpty.kt,TOD009TodayEmptyScreen
TOD_010,"Today Unknown",app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_010_TodayUnknown.kt,TOD010TodayUnknownScreen
TOD_011,"Today Offline",app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_011_TodayOffline.kt,TOD011TodayOfflineScreen
TOD_012,"Today Stale",app/src/main/java/com/movefuel/mufil2/ui/screens/tod/TOD_012_TodayStale.kt,TOD012TodayStaleScreen
CAM_001,"Food Camera",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_001_FoodCamera.kt,CAM001FoodCameraScreen
CAM_002,"Camera Permission",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_002_CameraPermission.kt,CAM002CameraPermissionScreen
CAM_003,"Food Framing",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_003_FoodFraming.kt,CAM003FoodFramingScreen
CAM_004,"Gallery Picker",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_004_GalleryPicker.kt,CAM004GalleryPickerScreen
CAM_005,"Image Preview",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_005_ImagePreview.kt,CAM005ImagePreviewScreen
CAM_006,"Checking Image",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_006_CheckingImage.kt,CAM006CheckingImageScreen
CAM_007,"Detecting Foods",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_007_DetectingFoods.kt,CAM007DetectingFoodsScreen
CAM_008,"Multi Food Detection",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_008_MultiFoodDetection.kt,CAM008MultiFoodDetectionScreen
CAM_009,"Estimating Portions",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_009_EstimatingPortions.kt,CAM009EstimatingPortionsScreen
CAM_010,"Nutrition Matching",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_010_NutritionMatching.kt,CAM010NutritionMatchingScreen
CAM_011,"Detected Food Review",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_011_DetectedFoodReview.kt,CAM011DetectedFoodReviewScreen
CAM_012,"Edit Food Identity",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_012_EditFoodIdentity.kt,CAM012EditFoodIdentityScreen
CAM_013,"Edit Portion",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_013_EditPortion.kt,CAM013EditPortionScreen
CAM_014,"Add Missed Food",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_014_AddMissedFood.kt,CAM014AddMissedFoodScreen
CAM_015,"Low Confidence Clarification",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_015_LowConfidenceClarification.kt,CAM015LowConfidenceClarificationScreen
CAM_016,"Nutrition Unavailable",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_016_NutritionUnavailable.kt,CAM016NutritionUnavailableScreen
CAM_017,"Final Meal Review",app/src/main/java/com/movefuel/mufil2/ui/screens/cam/CAM_017_FinalMealReview.kt,CAM017FinalMealReviewScreen
